"ORDER","FAMILY","SCI_NAME","PRIMARY_COM_NAME","DECISION_FINAL","GENERAL_CAT"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris fuscicollis","White-rumped Sandpiper","Both sexes physical trait","physical trait"
"Piciformes","Picidae (Woodpeckers)","Sphyrapicus ruber","Red-breasted Sapsucker","Both sexes physical trait","physical trait"
"Piciformes","Picidae (Woodpeckers)","Sphyrapicus thyroideus","Williamson's Sapsucker","Person","human"
"Piciformes","Picidae (Woodpeckers)","Sphyrapicus varius","Yellow-bellied Sapsucker","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Melanitta perspicillata","Surf Scoter","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Melanitta fusca","Velvet Scoter","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Melanitta deglandi","White-winged Scoter","Both sexes physical trait","physical trait"
"Procellariiformes","Procellariidae (Shearwaters and Petrels)","Puffinus lherminieri","Audubon's Shearwater","Person","human"
"Procellariiformes","Procellariidae (Shearwaters and Petrels)","Puffinus opisthomelas","Black-vented Shearwater","Both sexes physical trait","physical trait"
"Procellariiformes","Procellariidae (Shearwaters and Petrels)","Calonectris diomedea","Cory's Shearwater","Person","human"
"Procellariiformes","Procellariidae (Shearwaters and Petrels)","Puffinus puffinus","Manx Shearwater","Geographic Location","natural history"
"Procellariiformes","Procellariidae (Shearwaters and Petrels)","Ardenna creatopus","Pink-footed Shearwater","Both sexes physical trait","physical trait"
"Procellariiformes","Procellariidae (Shearwaters and Petrels)","Ardenna grisea","Sooty Shearwater","Both sexes physical trait","physical trait"
"Passeriformes","Laniidae (Shrikes)","Lanius ludovicianus","Loggerhead Shrike","Both sexes physical trait","physical trait"
"Passeriformes","Laniidae (Shrikes)","Lanius borealis","Northern Shrike","Geographic Location","natural history"
"Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Spinus pinus","Pine Siskin","Natural History","natural history"
"Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Rynchops niger","Black Skimmer","Both sexes physical trait","physical trait"
"Charadriiformes","Scolopacidae (Sandpipers and Allies)","Gallinago delicata","Wilson's Snipe","Person","human"
"Passeriformes","Turdidae (Thrushes and Allies)","Myadestes townsendi","Townsend's Solitaire","Person","human"
"Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Porzana carolina","Sora","Local language","human"
"Passeriformes","Passerellidae (New World Sparrows)","Centronyx bairdii","Baird's Sparrow","Person","human"
"Passeriformes","Passerellidae (New World Sparrows)","Artemisiospiza belli","Bell's Sparrow","Person","human"
"Passeriformes","Passerellidae (New World Sparrows)","Spizella atrogularis","Black-chinned Sparrow","Male physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Amphispiza bilineata","Black-throated Sparrow","Both sexes physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Spizella breweri","Brewer's Sparrow","Person","human"
"Passeriformes","Passerellidae (New World Sparrows)","Peucaea cassinii","Cassin's Sparrow","Person","human"
"Passeriformes","Passerellidae (New World Sparrows)","Spizella passerina","Chipping Sparrow","Behavior","natural history"
"Passeriformes","Passerellidae (New World Sparrows)","Spizella pallida","Clay-colored Sparrow","Both sexes physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Spizella pusilla","Field Sparrow","Natural History","natural history"
"Passeriformes","Passerellidae (New World Sparrows)","Passerella iliaca","Fox Sparrow","Both sexes physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Zonotrichia atricapilla","Golden-crowned Sparrow","Both sexes physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Ammodramus savannarum","Grasshopper Sparrow","Behavior","natural history"
"Passeriformes","Passerellidae (New World Sparrows)","Zonotrichia querula","Harris's Sparrow","Person","human"
"Passeriformes","Passerellidae (New World Sparrows)","Centronyx henslowii","Henslow's Sparrow","Person","human"
"Passeriformes","Passerellidae (New World Sparrows)","Chondestes grammacus","Lark Sparrow","Behavior","natural history"
"Passeriformes","Passerellidae (New World Sparrows)","Melospiza lincolnii","Lincoln's Sparrow","Person","human"
"Passeriformes","Passerellidae (New World Sparrows)","Aimophila ruficeps","Rufous-crowned Sparrow","Both sexes physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Peucaea carpalis","Rufous-winged Sparrow","Both sexes physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Ammospiza maritima","Seaside Sparrow","Natural History","natural history"
"Passeriformes","Passerellidae (New World Sparrows)","Melospiza melodia","Song Sparrow","Behavior","natural history"
"Passeriformes","Passerellidae (New World Sparrows)","Melospiza georgiana","Swamp Sparrow","Natural History","natural history"
"Passeriformes","Passerellidae (New World Sparrows)","Pooecetes gramineus","Vesper Sparrow","Behavior","natural history"
"Passeriformes","Passerellidae (New World Sparrows)","Zonotrichia leucophrys","White-crowned Sparrow","Both sexes physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Zonotrichia albicollis","White-throated Sparrow","Both sexes physical trait","physical trait"
"Passeriformes","Passerellidae (New World Sparrows)","Spizella wortheni","Worthen's Sparrow","Person","human"
"Pelecaniformes","Threskiornithidae (Ibises and Spoonbills)","Platalea ajaja","Roseate Spoonbill","Both sexes physical trait","physical trait"
"Charadriiformes","Recurvirostridae (Stilts and Avocets)","Himantopus mexicanus","Black-necked Stilt","Both sexes physical trait","physical trait"
"Passeriformes","Hirundinidae (Swallows)","Riparia riparia","Bank Swallow","Natural History","natural history"
"Passeriformes","Hirundinidae (Swallows)","Hirundo rustica","Barn Swallow","Natural History","natural history"
"Passeriformes","Hirundinidae (Swallows)","Petrochelidon pyrrhonota","Cliff Swallow","Natural History","natural history"
"Passeriformes","Hirundinidae (Swallows)","Tachycineta bicolor","Tree Swallow","Natural History","natural history"
"Passeriformes","Hirundinidae (Swallows)","Tachycineta thalassina","Violet-green Swallow","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cygnus buccinator","Trumpeter Swan","Behavior","natural history"
"Caprimulgiformes","Apodidae (Swifts)","Cypseloides niger","Black Swift","Both sexes physical trait","physical trait"
"Caprimulgiformes","Apodidae (Swifts)","Chaetura pelagica","Chimney Swift","Natural History","natural history"
"Caprimulgiformes","Apodidae (Swifts)","Chaetura vauxi","Vaux's Swift","Person","human"
"Caprimulgiformes","Apodidae (Swifts)","Aeronautes saxatalis","White-throated Swift","Both sexes physical trait","physical trait"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Piranga flava","Hepatic Tanager","Male physical trait","physical trait"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Piranga olivacea","Scarlet Tanager","Male physical trait","physical trait"
"Passeriformes","Cardinalidae (Cardinals and Allies)","Piranga rubra","Summer Tanager","Natural History","natural history"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula discors","Blue-winged Teal","Both sexes physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula cyanoptera","Cinnamon Teal","Male physical trait","physical trait"
"Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas crecca","Green-winged Teal","Both sexes physical trait","physical trait"
