"ORDER","FAMILY","SCI_NAME","PRIMARY_COM_NAME","CATEGORY_1_A","CATEGORY_2_A","REFERENCE_A","COMMENT_A","CATEGORY_1_B","CATEGORY_2_B","REFERENCE_B","COMMENT_B","CATEGORY_1_C","REFERENCE_C","COMMENT_C","CATEGORY_1_D","REFERENCE_D","COMMENT_D","CATEGORY_1_E","REFERENCE_E","COMMENT_E","ESM_AJS_FINAL_DECISION","DECISION_FINAL","GENERAL_CAT"
NA,NA,NA,"Scaled Partridge","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","Feather pattern looks like scales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"California Brown Pelican","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Ashy Petrel","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Black Petrel","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Fisher's Petrel","Person",NA,"","","Person",NA,"https://digitalcommons.usf.edu/cgi/viewcontent.cgi?article=3093&context=auk#:~:text=Page%201,auk/vol12/iss4/1 ","named after "" Mr. Win. J. Fisher""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Fork-tailed Petrel","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Hornby's Petrel","Person",NA,"","","Person",NA,"https://www.peruaves.org/hydrobatidae/ringed-hornbys-storm-petrel-oceanodroma-hornbyi/#:~:text=Sub%2Dspecies:%20Ringed%20(Hornby's,chief%20stationed%20in%20the%20Pacific. ","In honor of Admiral Sir Phipps Hornby,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Leach's Petrel","Person",NA,"","","Person",NA,"https://www.birdsofhawaii.info/p/leachs-storm-petrel.html "," in memory of William E. Leach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Least Petrel","Size",NA,"","","Size",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Size","physical trait"
NA,NA,NA,"Peal's Petrel","Person",NA,"","","Person",NA,"https://www.euppublishing.com/doi/10.3366/E0260954108000132#:~:text=There%20seems%20less%20doubt%20about,glacialis%20and%20P.","Titian Ramsay Peale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Pintado Petrel","Both sexes physical trait",NA,"","pintado meaning painted in Spanish","Local language",NA,"https://www.museum.lsu.edu/~Remsen/SACCprop990.htm ","""Pintado"" means painted in spanish, and refers to the painted look of the bird (both sexes physical trait)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Stormy Petrel","Time limit",NA,"https://www.allaboutbirds.org/guide/Wilsons_Storm-Petrel/overview#:~:text=Early%20mariners%20were%20impressed%20by,referenced%20in%20the%20genus%20name.","or could be physical trait or maybe behavior? ability to fly far out at sea, so sailors thought that their presence indicated a storm coming. or no unique identifier its it is what is not called the storm-eptrel","Miscellaneous",NA,"https://wordsmith.org/words/stormy_petrel.html ","Superstitious origin-- Sailors believed the stormy petrel indicated that a storm would approach",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miscellaneous","human"
NA,NA,NA,"White-bellied Petrel","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"White-faced Petrel","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Wilson's Petrel","Person",NA,"","","Person",NA,"https://www.birdsofpei.info/p/wilsons-storm-petrel.html ","Alexander Wilson ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Wood-Pewee","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","two types of wood-peewee now",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Northern Phalarope","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Phoebe","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Pintail","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Golden-Plover","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Little Ring Plover","Size",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Size","physical trait"
NA,NA,NA,"Mongolian Plover","Geographic Location",NA,"","","Geographic Location",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
NA,NA,NA,"Ring Plover","No Unique Identifier",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Poor-will","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Welch's Ptarmigan","Person",NA,"","","Person",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Person","human"
NA,NA,NA,"Puffin","No Unique Identifier",NA,"","","No Unique Identifier",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Unique Identifier","human"
NA,NA,NA,"Blue-headed Quail-dove","Both sexes physical trait",NA,"","","Both sexes physical trait",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Both sexes physical trait","physical trait"
NA,NA,NA,"Key West Quail-dove","Geographic Location",NA,"","","Geographic Location",NA,"","florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geographic Location","natural history"
