"","study","doi","contribution"
"117","ot_289","http://dx.doi.org/10.1016/j.ympev.2015.04.010",0.194913681084091
"118","pg_2444","http://dx.doi.org/10.1080/10635150701549672",0.194913681084091
"119","pg_2875","http://dx.doi.org/10.1111/j.1600-0587.2010.06167.x",0.194913681084091
"120","ot_112","http://dx.doi.org/10.1016/j.ympev.2012.02.002",0.185632077222944
"121","ot_147","http://dx.doi.org/10.1111/j.1420-9101.2008.01679.x",0.185632077222944
"122","ot_174","http://dx.doi.org/10.1111/j.1463-6409.2009.00397.x",0.185632077222944
"123","ot_2191","http://dx.doi.org/10.1098/rsos.140364",0.185632077222944
"124","ot_835","http://dx.doi.org/10.1111/j.2007.0908-8857.03921.x",0.185632077222944
"125","ot_144","http://dx.doi.org/10.1016/j.ympev.2007.11.020",0.176350473361797
"126","ot_161","http://dx.doi.org/10.1016/s1055-7903(03)00192-1",0.176350473361797
"127","ot_768","http://dx.doi.org/10.1016/j.ympev.2014.07.021",0.176350473361797
"128","ot_140","http://dx.doi.org/10.1016/j.ympev.2014.06.020",0.16706886950065
"129","ot_148","http://dx.doi.org/10.1016/j.ympev.2007.07.004",0.16706886950065
"130","ot_2182","http://dx.doi.org/10.1186/1471-2148-11-352",0.16706886950065
"131","ot_867","http://dx.doi.org/10.1186/1471-2148-8-197",0.16706886950065
"132","pg_1966","http://dx.doi.org/10.1093/sysbio/syr101",0.16706886950065
"133","pg_1979","http://dx.doi.org/10.1080/10635150600697390",0.16706886950065
"134","pg_2874","http://dx.doi.org/10.1111/zoj.12057",0.16706886950065
"135","ot_118","http://dx.doi.org/10.1111/jbi.12357",0.157787265639503
"136","ot_2084","http://dx.doi.org/10.1642/auk-16-26.1",0.157787265639503
"137","ot_2104","http://dx.doi.org/10.1093/sysbio/syaa040",0.157787265639503
"138","ot_533","http://dx.doi.org/10.1016/j.ympev.2015.09.025",0.157787265639503
"139","ot_838","http://dx.doi.org/10.1111/j.1095-8312.2005.00435.x",0.157787265639503
"140","ot_848","http://dx.doi.org/10.1016/j.ympev.2008.01.020",0.157787265639503
"141","pg_2454","http://dx.doi.org/10.1111/j.1558-5646.2007.00039.x",0.157787265639503
"142","ot_855","http://dx.doi.org/10.1016/j.ympev.2008.05.038",0.148505661778355
"143","ot_2083","http://dx.doi.org/10.1016/j.cub.2016.10.029",0.139224057917208
"144","ot_2091","http://dx.doi.org/10.1111/jbi.14379",0.139224057917208
"145","ot_655","http://dx.doi.org/10.1111/bij.12494",0.139224057917208
"146","ot_731","http://dx.doi.org/10.1016/j.ympev.2016.05.021",0.139224057917208
"147","ot_831","http://dx.doi.org/10.1206/0003-0082(2006)3544[1:paehoo]2.0.co;2",0.139224057917208
"148","pg_2332","http://dx.doi.org/10.1186/1471-2148-11-163",0.139224057917208
"149","ot_2132","http://dx.doi.org/10.1016/j.ympev.2019.106611",0.129942454056061
"150","ot_862","http://dx.doi.org/10.1007/s10336-015-1297-z",0.129942454056061
"151","pg_2871","http://dx.doi.org/10.1111/j.1474-919X.2012.01222.x",0.129942454056061
"152","ot_2020","http://dx.doi.org/10.1073/pnas.2006659117",0.120660850194914
"153","ot_2173","http://dx.doi.org/10.1016/j.ympev.2017.12.011",0.120660850194914
"154","ot_2187","http://dx.doi.org/10.1186/s40657-021-00275-4",0.120660850194914
"155","ot_806","http://dx.doi.org/10.1093/sysbio/syw060",0.120660850194914
"156","ot_1022","http://dx.doi.org/10.1016/s1055-7903(02)00019-2",0.111379246333766
"157","ot_126","http://dx.doi.org/10.1525/auk.2009.09045",0.111379246333766
"158","ot_166","http://dx.doi.org/10.1111/j.1463-6409.2012.00567.x",0.111379246333766
"159","pg_1872","http://dx.doi.org/10.1016/j.ympev.2007.02.015",0.111379246333766
"160","ot_124","http://dx.doi.org/10.1006/mpev.2001.1078",0.102097642472619
"161","ot_138","http://dx.doi.org/10.1006/mpev.1997.0431",0.102097642472619
"162","ot_786","http://dx.doi.org/10.1080/02724634.2012.652051",0.102097642472619
"163","pg_2870","http://dx.doi.org/10.1016/j.ympev.2011.05.008",0.102097642472619
"164","ot_113","http://dx.doi.org/10.1016/j.cub.2011.09.039",0.0928160386114721
"165","ot_169","http://dx.doi.org/10.1111/jbi.12218",0.0928160386114721
"166","ot_2168","http://dx.doi.org/10.1016/j.ympev.2012.08.012",0.0928160386114721
"167","ot_769","http://dx.doi.org/10.1642/auk-14-193.1",0.0928160386114721
"168","ot_866","http://dx.doi.org/10.1007/s10336-007-0251-0",0.0928160386114721
"169","ot_101","http://dx.doi.org/10.1111/jbi.12150",0.0835344347503248
"170","ot_1285","http://dx.doi.org/10.1016/j.ympev.2018.03.030",0.0835344347503248
"171","ot_129","http://dx.doi.org/10.2989/ostrich.2009.80.1.1.759",0.0835344347503248
"172","ot_177","http://dx.doi.org/10.1016/j.ympev.2010.02.008",0.0835344347503248
"173","ot_2155","http://dx.doi.org/10.1111/zsc.12350",0.0835344347503248
"174","ot_2185","http://dx.doi.org/10.1101/825687",0.0835344347503248
"175","ot_305","http://dx.doi.org/10.1016/j.ympev.2015.01.013",0.0835344347503248
"176","ot_415","http://dx.doi.org/10.1371/journal.pone.0109635",0.0835344347503248
"177","pg_2702","http://dx.doi.org/10.1016/j.ympev.2013.09.027",0.0835344347503248
"178","ot_120","http://dx.doi.org/10.1642/0004-8038(2004)121[0682:vsocac]2.0.co;2",0.0742528308891777
"179","ot_160","http://dx.doi.org/10.1016/j.ympev.2011.03.011",0.0742528308891777
"180","ot_172","http://dx.doi.org/10.1111/j.1365-2699.2011.02606.x",0.0742528308891777
"181","ot_2074","http://dx.doi.org/10.1016/j.ympev.2020.106962",0.0742528308891777
"182","ot_2190","http://dx.doi.org/10.1016/j.ympev.2015.08.024",0.0742528308891777
"183","ot_137","http://dx.doi.org/10.1016/j.ympev.2010.11.021",0.0649712270280304
"184","ot_153","http://dx.doi.org/10.1016/j.ympev.2010.10.016",0.0649712270280304
"185","ot_154","http://dx.doi.org/10.1016/j.ympev.2013.06.017",0.0649712270280304
"186","ot_157","http://dx.doi.org/10.1016/j.ympev.2011.05.001",0.0649712270280304
"187","ot_158","http://dx.doi.org/10.1016/j.ympev.2010.09.011",0.0649712270280304
"188","ot_171","http://dx.doi.org/10.1016/j.ympev.2008.09.006",0.0649712270280304
"189","ot_176","http://dx.doi.org/10.1016/j.ympev.2011.12.014",0.0649712270280304
"190","ot_2148","http://dx.doi.org/10.1002/ece3.3136",0.0649712270280304
"191","ot_820","http://dx.doi.org/10.1111/j.1474-919x.2007.00794.x",0.0649712270280304
